tint,text,q
22.87743,9.680223,0.8787206
22.88219,9.826314,0.7073977
22.86579,10.37454,0.7902958
22.84939,10.00909,0.6410792
22.8765,9.803928,0.5858137
22.8683,10.21929,0.5471279
22.8601,9.737453,0.4089643
22.8601,9.737453,0.3260661
22.8601,10.05317,0.3592254
22.8872,9.881241,0.2265883
22.8872,9.648574,0.2597476
22.8872,9.798153,0.1879025
22.879,9.980936,0.2486945
22.90016,9.919301,0.2818538
22.88376,9.927608,0.1934291
22.87556,9.894377,0.1602698
22.87556,9.32092,0.07184508
22.90267,9.340085,-0.01105309
22.89447,9.76397,0.08289817
22.89447,9.847062,-0.03315927
22.92384,9.519482,-0.06079199
22.92384,9.78542,-0.05526545
22.90744,10.20079,0.06079199
22.90744,9.885127,-0.0
22.90744,9.846117,-0.1160574
22.93454,9.895969,-0.0497389
22.91814,10.01228,-0.1271105
22.95571,9.560099,-0.1326371
22.96391,9.593345,-0.2100087
22.96391,9.884186,-0.2044822
22.96391,9.98388,-0.2708007
22.99102,9.288319,-0.3260661
22.99102,9.413019,-0.2929069
22.99102,9.604194,-0.2376414
22.97462,9.933097,-0.1602698
23.00399,9.966329,-0.436597
23.00399,9.417855,-0.3702785
23.00399,9.517603,-0.3371192
22.99579,9.750304,-0.2044822
23.03109,10.10178,-0.2486945
23.02289,9.545076,-0.4144908
23.03109,9.279068,-0.3923846
23.07937,9.618952,-0.243168
23.06297,9.851625,-0.09395126
23.04658,10.26696,-0.1160574
23.04658,9.818391,-0.2376414
23.07594,9.681957,-0.243168
23.07594,9.806603,-0.3205396
23.06774,10.24688,-0.2376414
23.09711,9.906306,-0.3702785
23.08892,9.528888,-0.3039599
23.08892,9.562134,-0.3150131
23.08892,9.852985,-0.2265883
23.07252,10.09391,-0.2376414
23.09962,10.12967,-0.3813316
23.10782,9.473247,-0.4476501
23.09962,9.456623,-0.4421236
23.09962,9.71911,-0.3481723
23.1372,9.984989,-0.3702785
23.129,10.38366,-0.4476501
23.1372,10.19265,-0.618973
23.1725,9.671793,-0.4476501
23.1725,9.671793,-0.4808094
23.15611,9.754894,-0.3315927
23.1643,10.03737,-0.4531766
23.18548,10.0256,-0.7018712
23.18548,9.776352,-0.6631854
23.20187,9.834517,-0.6466057
23.18548,10.04221,-0.4255439
23.18548,10.37443,-0.4918625
23.21259,10.33546,-0.558181
23.21259,10.4102,-0.6466057
23.22899,10.61776,-0.6466057
23.25835,10.09944,-0.6908181
23.25835,9.91668,-0.6244996
23.24196,10.00807,-0.5139686
23.22556,10.2787,-0.3923846
23.23854,10.42817,-0.4808094
23.23854,10.44478,-0.7129242
23.25493,9.755344,-0.558181
23.25493,9.730415,-0.6687119
23.27384,9.965609,-0.4200174
23.24925,10.12344,-0.3868581
23.24105,10.35598,-0.375805
23.24105,9.973916,-0.558181
23.26223,9.837521,-0.5139686
23.26223,9.854138,-0.4918625
23.24583,10.11998,-0.3592254
23.27521,10.39888,-0.4587032
23.27521,10.22449,-0.6023933
23.27521,9.917141,-0.6244996
23.2834,9.99191,-0.6466057
23.2916,10.22704,-0.558181
23.2916,10.44295,-0.6134464
23.31871,10.37652,-0.7626631
23.31871,10.28517,-0.679765
23.34808,10.37306,-0.5802872
23.33169,10.59724,-0.4808094
23.31529,10.63875,-0.5802872
23.31529,9.990997,-0.4863359
23.30709,9.808215,-0.618973
23.2989,9.904452,-0.5471279
23.32827,10.05399,-0.558181
23.32827,10.35298,-0.6687119
23.35538,10.54396,-0.5747606
23.35538,9.882086,-0.6134464
23.34719,9.757451,-0.5858137
23.33899,9.732521,-0.5471279
23.33899,9.915319,-0.5305483
23.36836,10.13961,-0.5913402
23.36016,10.43511,-0.5029156
23.35196,10.34377,-0.6134464
23.34377,10.3071,-0.5250217
23.37314,10.47317,-0.5416014
23.37314,10.65582,-0.5471279
23.35675,10.75543,-0.4587032
23.35675,10.33201,-0.5416014
23.36747,10.19083,-0.5802872
23.36747,10.25152,-0.5250217
23.36747,10.45912,-0.4918625
23.38865,10.78773,-0.4808094
23.38045,10.38093,-0.5913402
23.38045,10.30619,-0.5913402
23.36405,10.5719,-0.4697563
23.36405,10.80433,-0.4144908
23.37704,10.86243,-0.436597
23.37704,10.21138,-0.6908181
23.37704,9.962188,-0.6576588
23.37704,10.0951,-0.5471279
23.36064,10.28868,-0.5250217
23.38776,10.52119,-0.6079199
23.38776,10.75363,-0.5858137
23.38776,10.70382,-0.6023933
23.37136,9.973052,-0.6300261
23.40074,9.977903,-0.6687119
23.39255,10.07759,-0.5194952
23.37615,10.20218,-0.4476501
23.35975,10.39318,-0.4697563
23.35156,10.61736,-0.4697563
23.38093,10.77992,-0.4255439
23.36454,10.41464,-0.5029156
23.35634,10.19872,-0.4918625
23.37752,10.17866,-0.4808094
23.36113,10.39458,-0.4034378
23.35293,10.61045,-0.436597
23.34473,10.75987,-0.4476501
23.33654,10.90096,-0.4200174
23.35547,10.5549,-0.4531766
23.35547,10.26427,-0.5360748
23.36366,10.29749,-0.5416014
23.35547,10.43866,-0.4697563
23.33907,10.65452,-0.5139686
23.36845,10.90837,-0.4918625
23.36845,10.47672,-0.6742384
23.36025,10.06978,-0.5747606
23.38963,9.945172,-0.6576588
23.38144,10.21584,-0.4697563
23.37324,10.41515,-0.558181
23.36504,10.66422,-0.5471279
23.35684,10.78873,-0.4863359
23.36983,10.91322,-0.4531766
23.35343,10.91807,-0.4089643
23.34523,10.95956,-0.3702785
23.32884,11.09233,-0.2929069
23.33957,10.77697,-0.3702785
23.32318,10.5471,-0.4200174
23.30678,10.50559,-0.2929069
23.29858,10.61352,-0.243168
23.29038,10.87914,-0.2155352
23.27399,10.94553,-0.3315927
23.27399,11.03681,-0.5692341
23.30338,10.60177,-0.618973
23.31157,10.42742,-0.6300261
23.30338,10.60177,-0.436597
23.28698,10.91374,-0.4587032
23.31636,11.0797,-0.3813316
23.29997,11.19586,-0.4034378
23.29997,11.01332,-0.5747606
23.29997,10.48209,-0.6687119
23.29997,10.46548,-0.7184508
23.30817,10.64468,-0.6300261
23.32936,10.7609,-0.6134464
23.31296,10.8605,-0.558181
23.31296,11.04307,-0.618973
23.29656,11.18412,-0.618973
23.33415,10.77405,-0.6576588
23.32595,10.60803,-0.8345082
23.34234,10.69104,-0.7129242
23.33415,10.75745,-0.740557
23.32595,10.95663,-0.7129242
23.32595,11.106,-0.6908181
23.30955,11.21041,-0.6687119
23.33894,10.8204,-0.679765
23.32255,10.62119,-0.740557
23.33075,10.57968,-0.7681897
23.34967,10.86447,-0.7571366
23.34967,11.01958,-0.801349
23.34967,11.13001,-0.8510879
23.34967,11.30423,-0.8345082
23.34148,11.11342,-0.9395126
23.34148,10.62375,-0.9671453
23.34967,10.54073,-1.044517
23.37906,10.81123,-0.9008268
23.37087,10.97721,-0.9063533
23.36267,11.14316,-0.862141
23.36267,11.23442,-0.801349
23.34627,11.22613,-0.8234552
23.37567,10.72822,-0.7681897
23.34627,10.72478,-0.983725
23.37567,10.67498,-0.9063533
23.37567,10.87418,-0.9118798
23.37567,11.01526,-1.011358
23.37567,11.30565,-0.9892515
23.37567,11.28906,-0.9892515
23.38386,11.4681,-1.016884
23.40505,11.10309,-1.000305
23.40505,10.76284,-1.110836
23.42144,10.84584,-1.116362
23.42144,10.97862,-1.044517
23.41325,11.10309,-1.066623
23.44264,11.31536,-1.066623
23.43444,11.46466,-1.044517
23.43444,11.55589,-1.011358
23.43444,11.09965,-1.088729
23.42625,10.8507,-1.077676
23.42625,10.9005,-1.132942
23.45564,10.98834,-0.9892515
23.43924,11.1377,-0.983725
23.43105,11.22067,-0.9671453
23.42285,11.32851,-0.9450391
23.41465,11.46123,-0.9616187
23.41465,11.03813,-0.994778
23.41465,10.73106,-1.044517
23.43584,10.84382,-0.9781984
23.42765,10.9932,-0.983725
23.42765,11.20893,-0.994778
23.41125,11.29189,-0.9671453
23.41125,11.4412,-1.000305
23.41125,11.65682,-0.9892515
23.41125,11.73145,-0.994778
23.44065,11.40458,-1.110836
23.44065,10.97316,-1.237946
23.44065,10.89018,-1.121889
23.44065,11.13912,-1.05557
23.43245,11.31334,-1.077676
23.44065,11.38799,-1.099782
23.46184,11.52555,-1.099782
23.46184,11.64165,-1.121889
23.46184,11.75774,-1.132942
23.45364,11.48408,-1.271105
23.45364,11.09419,-1.387163
