v1,v2
-3.034510000000001,-0.2652565
-3.0017500000000013,-0.2265732
-2.9198500000000003,-0.1989423
-2.821550000000002,-0.2155209
-2.739630000000002,-0.2320994
-2.64949,-0.281835
-2.6085400000000014,-0.2652565
-2.829740000000001,-0.2707826
-3.0590699999999984,-0.2431517
-3.1491299999999995,-0.2099947
-3.1491700000000016,-0.1768376
-3.08361,-0.1547329
-3.034589999999998,-0.1657853
-3.0100000000000016,-0.1934162
-3.345760000000002,-0.1989423
-3.771449999999998,-0.2320994
-3.98424,-0.2431517
-4.016909999999999,-0.2928873
-3.951439999999998,-0.4199894
-3.853189999999998,-0.5249867
-3.738599999999998,-0.5028821
-3.623940000000001,-0.6410364
-3.5420799999999986,-0.75156
-3.5584099999999985,-0.9173452
-3.9675800000000017,-0.9283975
-4.3030100000000004,-1.08313
-4.401120000000002,-1.193654
-4.36018,-1.271021
-4.294779999999999,-1.348387
-4.1884000000000015,-1.464437
-4.09836,-1.497594
-3.98376,-1.552855
-4.03285,-1.552855
-4.417289999999998,-1.591539
-4.66262,-1.685484
-4.736180000000001,-1.796007
-4.703469999999999,-1.751798
-4.6298400000000015,-1.784955
-4.523489999999999,-1.751798
-4.4253399999999985,-1.829164
-4.368089999999999,-1.978371
-4.646129999999999,-1.956266
-5.038550000000001,-1.8789
-5.21021,-1.945214
-5.242909999999998,-2.050211
-5.161230000000003,-1.956266
-5.07131,-2.110999
-4.973200000000002,-2.028107
-4.866850000000003,-1.978371
-4.817790000000002,-2.144156
-5.13663,-2.044685
-5.50441,-2.044685
-5.667830000000002,-2.127578
-5.651410000000002,-2.06679
-5.594249999999999,-2.000476
-5.520750000000003,-1.856795
-5.422730000000001,-1.685484
-5.349250000000001,-1.547329
-5.35754,-1.370492
-5.668150000000001,-1.237863
-6.060390000000002,-1.138392
-6.256500000000003,-1.033395
-6.264710000000001,-0.9836594
-6.1911999999999985,-0.8897144
-6.117730000000002,-0.8731358
-6.02797,-0.8178741
-5.921770000000002,-0.784717
-5.88092,-0.7349814
-6.142330000000001,-0.7460338
-6.51801,-0.7405075
-6.771159999999998,-0.7018244
-6.8364699999999985,-0.6520888
-6.762999999999998,-0.7239291
-6.66498,-0.6410364
-6.56709,-0.6410364
-6.469100000000001,-0.6134055
-6.428229999999999,-0.5857747
-6.7957,-0.5305129
-7.17934,-0.5028821
-7.3263,-0.4420941
-7.3099799999999995,-0.4365679
-7.228369999999998,-0.37578
-7.138640000000002,-0.4310417
-7.040700000000001,-0.4586726
-6.918209999999998,-0.4586726
-7.09778,-0.5084082
