v1,v2
20.23679,-3.724488
20.22054,-3.56423
20.21475,-3.746586
20.33227,-9.31119
20.27473,-4.04498
20.25025,-3.823934
20.24446,-4.12786
20.23869,-3.851552
20.19759,-3.928914
20.17292,-3.43157
20.16714,-3.448148
20.15089,-3.58628
20.13445,-3.757564
20.12045,-3.282342
20.12289,-2.978406
20.09823,-3.127603
20.09841,-3.38177
20.09264,-3.2381
20.06798,-3.12204
20.08686,-3.431481
20.05398,-3.254638
20.06465,-3.166227
20.03176,-2.762835
20.02373,-3.182786
20.00729,-3.254602
20.00151,-3.127512
19.98507,-3.188277
19.99575,-3.099868
19.97108,-3.144058
19.98175,-3.260095
19.96531,-3.116418
19.95728,-2.994855
19.93262,-2.884334
19.93507,-2.856706
19.90218,-2.608049
19.90464,-2.508589
19.87175,-2.668823
19.88243,-2.630144
19.86598,-2.851159
19.84954,-2.795903
19.86022,-2.713016
19.86863,-2.94508
19.86041,-2.82352
19.84397,-3.166093
19.83821,-3.094262
19.83821,-3.210289
19.84888,-3.171611
19.83244,-3.342891
19.82422,-3.353942
19.84312,-3.414713
19.8349,-3.447865
19.84558,-3.679925
19.84558,-3.337349
19.82091,-3.569409
19.82338,-3.481003
19.81516,-3.690962
19.79871,-3.563878
19.82358,-3.591499
19.80713,-3.348382
19.79891,-3.602544
19.79069,-3.812509
19.80138,-3.453354
19.80138,-4.138499
19.81206,-4.237948
19.81206,-4.403709
19.80384,-3.906419
19.82274,-3.436765
19.81452,-3.701974
19.8063,-3.823531
19.82521,-3.773796
19.81699,-4.171613
19.80877,-4.199239
19.80054,-4.453396
19.82767,-4.536276
19.81945,-4.696502
19.81945,-5.055646
19.85481,-4.806999
19.85481,-5.193769
19.85481,-4.878819
19.84659,-5.022476
19.89839,-5.121922
19.90661,-5.950712
19.93949,-6.779489
19.98903,-6.680034
20.00547,-6.652394
20.03835,-6.447959
20.0548,-7.033621
20.07124,-7.276731
20.09836,-7.613754
20.1148,-6.994929
20.13946,-7.657942
20.17481,-7.945253
20.19125,-7.983918
20.22412,-8.359632
20.27344,-9.381783
20.30878,-8.564054
20.30056,-8.67455
20.317,-8.895558
20.3663,-8.928702
20.40986,-9.254682
20.46985,-8.945271
20.47807,-9.171797
20.46985,-9.928746
20.46985,-8.740827
20.48628,-9.945314
20.54627,-10.79618
20.58736,-10.4039
20.62269,-10.93983
20.62269,-9.823744
20.63912,-9.49775
20.63912,-10.19944
20.6991,-10.90666
20.70732,-10.86798
20.73196,-10.51988
20.75661,-11.37076
20.78946,-11.98956
20.79193,-10.86243
20.78372,-11.23813
20.78372,-10.77402
20.79193,-10.49775
20.82726,-10.69665
20.83548,-10.53641
20.84369,-10.63034
20.86259,-10.89001
20.8708,-11.05024
20.88723,-10.51982
20.89792,-10.46457
20.91435,-10.2104
20.92256,-10.70765
20.94967,-10.70213
20.94967,-11.1165
20.95788,-10.53636
20.9661,-11.03914
21.00143,-9.779419
21.00964,-10.81813
21.02854,-10.58608
21.02854,-11.65794
21.04496,-10.11091
21.05565,-10.69657
21.05565,-10.57501
21.03102,-9.956199
21.04991,-10.36506
21.03349,-10.07775
21.04991,-10.24902
21.05239,-9.807013
21.03597,-9.994866
21.06308,-10.06116
21.04665,-9.530755
21.03023,-9.370524
21.04092,-9.425776
21.03271,-9.105318
20.99164,-9.061117
20.99412,-9.458921
20.9777,-8.762762
20.98591,-8.983763
20.9966,-8.265504
21.00482,-9.050062
21.0073,-8.23235
20.97444,-8.657781
20.94159,-7.127336
20.92516,-7.596967
20.92765,-7.177062
20.91122,-7.92847
20.93013,-8.514127
20.92192,-8.475451
20.90549,-8.121846
20.91619,-6.972633
20.89976,-7.823493
20.92093,-8.480975
20.91271,-7.840068
20.9045,-8.585952
20.88807,-7.414638
20.90698,-7.552764
