v1,v2
-5.1554699999999976,-8.079315
-5.1310199999999995,-8.117999
-5.0818699999999986,-8.112456
-5.409579999999998,-7.902461
-5.64706,-8.151123
-5.54879,-7.891374
-5.2786100000000005,-7.758746
-4.29532,-7.858198
-4.45111,-7.570837
-4.672359999999998,-7.830545
-4.3445800000000006,-7.791863
-4.04129,-7.78079
-3.8608699999999985,-7.615005
-3.647689999999997,-7.775247
-3.7133600000000015,-7.421575
-3.9429700000000025,-7.703393
-3.82817,-7.576293
-3.5821499999999986,-7.360765
-4.123379999999997,-7.305504
-4.19726,-7.211551
-4.385729999999999,-7.659165
-4.787379999999999,-7.101023
-4.7463799999999985,-7.272331
-4.771070000000002,-6.929708
-4.820230000000002,-6.935233
-4.7301600000000015,-7.101007
-4.8612600000000015,-6.957329
-5.025120000000001,-6.819168
-4.623619999999999,-6.714172
-4.4023,-6.769425
-4.484290000000001,-6.747321
-4.582640000000001,-6.819152
-4.812090000000001,-6.951777
-4.64827,-6.631259
-4.5744299999999996,-6.697565
-4.443330000000003,-6.797034
-4.213800000000003,-6.598092
-4.295780000000001,-6.526253
-4.45149,-6.907547
-4.566230000000001,-6.990437
-4.4269,-6.642294
-3.926820000000003,-6.553878
-4.02525,-6.432303
-3.6151700000000027,-6.647819
-3.6561500000000002,-6.72518
-3.926820000000003,-6.509665
-3.9350200000000015,-6.393615
-4.00882,-6.520713
-3.9981299999999997,-6.415716
-3.7136499999999977,-6.388085
-3.746459999999999,-6.548338
-3.894079999999999,-6.548338
-3.7875200000000007,-6.669911
-4.115540000000003,-6.487552
-4.21386,-6.504134
-4.345029999999998,-6.421243
-4.336839999999999,-6.205735
-4.189299999999999,-6.537297
-4.1318899999999985,-6.653353
-4.099029999999999,-6.338369
-4.17286,-6.200226
-4.008839999999999,-6.471003
-4.0908700000000024,-6.388121
-4.17286,-6.084193
-4.26304,-6.305236
-4.263079999999999,-6.156036
-4.271279999999997,-6.272084
-3.9679900000000004,-6.415762
-3.8530700000000024,-6.084198
-3.6562300000000008,-6.200243
-3.7054899999999975,-6.122879
-3.7957600000000014,-5.929461
-3.7547299999999986,-5.907357
-3.7876200000000004,-6.07866
-3.549680000000002,-5.940508
-3.6645199999999996,-5.990237
-3.566089999999999,-5.951555
-3.4430799999999984,-5.829978
-3.18872,-5.852082
-3.205069999999999,-6.067596
-3.246100000000002,-6.216799
-3.3527699999999996,-5.769188
-3.4676299999999998,-5.680772
-3.4101800000000004,-5.570251
-3.3116999999999983,-5.791292
-3.2297200000000004,-5.724978
-3.205079999999999,-5.951546
-3.1148099999999985,-5.702872
-3.1557400000000015,-5.84655
-3.1640300000000003,-5.802338
-3.1312500000000014,-5.791286
-2.8767700000000005,-5.619976
-2.983520000000002,-5.70839
-3.0655399999999986,-5.675234
-3.0901400000000017,-5.846538
-2.975240000000003,-5.570237
-2.9752599999999987,-5.46524
-2.96706,-5.570235
-2.8602799999999995,-5.785747
-2.7207800000000013,-5.570231
-2.6222199999999987,-5.487338
-2.66329,-5.476286
-2.696089999999998,-5.763634
-2.712500000000002,-5.448652
