v1,v2
-8.17653,-5.123109
-8.19286,-5.620498
-8.152080000000002,-5.454726
-8.372440000000001,-5.404987
-8.258230000000001,-5.471316
-7.817250000000001,-6.057135
-7.6375199999999985,-5.46579
-7.572230000000001,-5.968709
-7.6537700000000015,-5.460257
-7.817110000000003,-5.217087
-7.612970000000001,-5.183913
-7.8172,-5.548666
-7.89067,-5.100996
-8.005049999999997,-5.211526
-8.16836,-5.310981
-8.22551,-5.20045
-8.34779,-5.12858
-8.519199999999998,-5.172792
-8.274329999999999,-4.896441
-7.743600000000001,-4.979339
-7.768060000000002,-5.095365
-7.9475799999999985,-4.918519
-7.490130000000001,-5.189281
-7.841320000000003,-5.167176
-8.127099999999999,-5.277669
-8.30669,-5.310827
-8.176090000000002,-4.935002
-8.15166,-4.841055
-8.0945,-4.907338
-7.890139999999999,-5.028882
-7.874000000000002,-5.100722
-7.718609999999998,-4.874114
-8.04516,-4.758064
-7.677670000000003,-4.691718
-7.669549999999997,-4.664087
-7.473369999999999,-4.901681
-7.4327000000000005,-5.100622
-7.37548,-4.724816
-7.73471,-4.575612
-7.832550000000001,-4.945832
-7.58756,-5.260818
-7.67736,-5.106061
-7.74269,-4.641873
-7.65287,-4.652901
-7.6609300000000005,-4.752369
-7.677339999999997,-4.796555
-7.79983,-4.697087
-7.930489999999999,-4.907053
-7.946869999999997,-5.100462
-7.742709999999999,-5.089389
-7.015719999999998,-4.868352
-7.097350000000002,-4.978853
-7.007259999999999,-5.244097
-6.98282,-4.724645
-6.99916,-4.475979
-7.187059999999999,-4.735682
-7.1543199999999985,-4.542276
-7.031749999999999,-4.763299
-6.737569999999998,-4.967744
-6.95008,-4.702503
-7.285029999999999,-4.857216
-7.391270000000002,-4.553295
-7.505600000000001,-4.553286
-7.244220000000002,-4.481451
-7.031790000000001,-4.978767
-6.737410000000001,-5.139016
-6.71293,-4.509065
-6.598509999999997,-4.404075
-6.590329999999998,-4.658256
-6.573979999999999,-4.962175
-6.614839999999997,-4.846128
-6.655709999999999,-4.415115
-6.6556999999999995,-4.586412
-6.484110000000001,-4.315648
-6.410489999999999,-4.829545
-6.525020000000001,-4.531153
-6.614839999999997,-4.376431
-6.721079999999997,-4.663773
-6.688399999999998,-4.332226
-6.55762,-4.6693
-6.369669999999999,-4.078043
-6.25517,-4.089094
-6.222519999999999,-4.199616
-6.075340000000001,-4.7743
-5.870919999999998,-4.282511
-5.8873200000000026,-4.332244
-5.94453,-4.398564
-5.928049999999999,-4.144386
