date;Heat Flux;T1;T2;U;Analysis period (0=no, 1 = yes);U24;U2/3s;U2/3e;
2019-02-19 15:44:27;20.0827140808105;24.5;17.0625;;0;0;0;0;
2019-02-19 15:54:27;17.720043182373;24.25;16.6875;;0;0;0;0;
2019-02-19 16:04:27;19.5267925262451;24;16.4375;;0;0;0;0;
2019-02-19 16:14:27;20.6386375427246;24.0625;16.5;;0;0;0;0;
2019-02-19 16:24:27;22.3064060211182;24.0625;16.4375;;0;0;0;0;
2019-02-19 16:34:27;23.9741744995117;24.125;16.5;;0;0;0;0;
2019-02-19 16:44:27;23.8351936340332;24;16.375;;0;0;0;0;
2019-02-19 16:54:27;21.3335418701172;24;16.125;;0;0;0;0;
2019-02-19 17:04:27;22.8623294830322;23.6875;15.875;;0;0;0;0;
2019-02-19 17:14:27;22.3064060211182;23.5625;15.625;;0;0;0;0;
2019-02-19 17:24:27;22.8623294830322;23.375;15.25;;0;0;0;0;
2019-02-19 17:34:27;23.1402912139893;23.1875;14.875;;0;0;0;0;
2019-02-19 17:44:27;24.2521362304688;22.9375;13.875;;0;0;0;0;
2019-02-19 17:54:27;24.6690788269043;22.75;13.1875;;0;0;0;0;
2019-02-19 18:04:27;26.4758281707764;22.625;13.625;;0;0;0;0;
2019-02-19 18:14:27;26.1978664398193;22.5;12.625;;0;0;0;0;
2019-02-19 18:24:27;27.4486923217773;22.375;12.3125;;0;0;0;0;
2019-02-19 18:34:27;27.1707324981689;22.25;12;;0;0;0;0;
2019-02-19 18:44:27;31.6181144714355;22.125;11.375;;0;0;0;0;
2019-02-19 18:54:27;29.255443572998;22;10.9375;;0;0;0;0;
2019-02-19 19:04:27;29.8113651275635;21.9375;11.0625;;0;0;0;0;
2019-02-19 19:14:27;29.1164627075195;21.875;10.375;;0;0;0;0;
2019-02-19 19:24:27;29.1164627075195;21.75;10.5;;0;0;0;0;
2019-02-19 19:34:27;31.7570953369141;21.75;10.5;;0;0;0;0;
2019-02-19 19:44:27;32.5909805297852;21.75;10.5;;0;0;0;0;
2019-02-19 19:54:27;32.0350570678711;21.625;10.3125;;0;0;0;0;
2019-02-19 20:04:27;32.7299613952637;21.625;9.875;;0;0;0;0;
2019-02-19 20:14:27;32.8689422607422;21.5625;9.625;;0;0;0;0;
2019-02-19 20:24:27;32.7299613952637;21.5;9.6875;;0;0;0;0;
2019-02-19 20:34:27;35.2316131591797;21.5;9.5;;0;0;0;0;
2019-02-19 20:44:27;32.5909805297852;21.4375;9.375;;0;0;0;0;
2019-02-19 20:54:27;33.4248657226563;21.375;9.25;;0;0;0;0;
2019-02-19 21:04:27;34.9536514282227;21.375;9.125;;0;0;0;0;
2019-02-19 21:14:27;35.6485557556152;21.25;8.9375;;0;0;0;0;
2019-02-19 21:24:27;35.0926322937012;21.25;9.125;;0;0;0;0;
2019-02-19 21:34:27;32.1740379333496;21.3125;8.9375;;0;0;0;0;
2019-02-19 21:44:27;33.0079231262207;21.25;9;;0;0;0;0;
2019-02-19 21:54:27;33.4248657226563;21.25;8.875;;0;0;0;0;
2019-02-19 22:04:27;36.2044792175293;21.1875;8.625;;0;0;0;0;
2019-02-19 22:14:27;33.4248657226563;21.1875;8.875;;0;0;0;0;
2019-02-19 22:24:27;32.4519996643066;21.125;8.375;;0;0;0;0;
2019-02-19 22:34:27;34.5367088317871;21.125;8.75;;0;0;0;0;
2019-02-19 22:44:27;34.2587471008301;21.125;9.25;;0;0;0;0;
